,ID,CODIGO_ACT,NOMBRE_ACT,PER_OCU,MUNICIPIO,LOCALIDAD,PER_OCU_NUMERIC,NOMBRE_ACT_NUMERIC,y,x
7282,6170450,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",6 a 10 personas,San Miguel de Allende,Corral de Piedras de Abajo,0,0,20.84917,-100.80978
7285,6170492,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,Purísima del Rincón,Las Colonias de Jalpa,1,0,20.883,-102.012
7288,8639643,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",6 a 10 personas,Abasolo,Abasolo,0,0,20.44941805,-101.52604294
7291,6170493,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",6 a 10 personas,Purísima del Rincón,El Barrial,0,0,21.05,-101.84
7295,6170490,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",6 a 10 personas,Tarandacuao,San José,0,0,20.03731,-100.55734
7298,6170448,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,Manuel Doblado,San Antonio de la Presa,1,0,20.64225646,-101.94951312
7304,9269129,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,Yuriria,Yuriria,1,0,20.21256775,-101.13035987
7314,9231927,112512.0,"Piscicultura y otra acuicultura, excepto camaronicultura",11 a 30 personas,San Felipe,Centro Piscícola,2,1,21.69472222,-101.01
7347,9018092,115210.0,Servicios relacionados con la cría y explotación de animales,6 a 10 personas,Pénjamo,Santa Ana Pacueco,0,2,20.34310513,-102.01563364999996
7350,6170474,112512.0,"Piscicultura y otra acuicultura, excepto camaronicultura",6 a 10 personas,Acámbaro,El Tecolote,0,1,20.0713625,-100.66689639
7354,6731609,115113.0,Beneficio de productos agrícolas,11 a 30 personas,Cortazar,Cortazar,2,3,20.48183399,-100.96899870999997
7358,8886155,115113.0,Beneficio de productos agrícolas,11 a 30 personas,Santa Cruz de Juventino Rosas,Tejada,2,3,20.58426306,-101.03754502
